Voltage,Sampling frequency
0.72549,125.0
0.67059,
0.6098,
0.55098,
0.5,
0.4549,
0.4098,
0.3902,
0.37451,
0.35882,
0.3549,
0.34902,
0.3549,
0.36471,
0.3549,
0.36471,
0.37451,
0.37059,
0.3902,
0.3902,
0.3902,
0.39412,
0.40392,
0.40392,
0.4,
0.39412,
0.38431,
0.38431,
0.38039,
0.3902,
0.40392,
0.41961,
0.41961,
0.42549,
0.42549,
0.4,
0.3902,
0.40392,
0.41961,
0.42941,
0.43529,
0.42941,
0.41569,
0.4098,
0.41569,
0.41961,
0.40392,
0.34902,
0.6549,
1.5039,
1.5039,
1.5039,
0.66078,
0.42941,
0.41961,
0.40392,
0.38431,
0.34902,
0.33922,
0.3549,
0.38039,
0.38039,
0.3902,
0.40392,
0.39412,
0.40392,
0.42941,
0.43529,
0.43922,
0.46078,
0.48431,
0.51569,
0.55098,
0.60588,
0.6549,
0.69608,
0.72549,
0.74118,
0.75098,
0.74118,
0.71569,
0.66471,
0.60588,
0.5451,
0.47451,
0.42941,
0.38431,
0.3451,
0.31961,
0.3098,
0.3098,
0.3098,
0.30392,
0.29412,
0.3,
0.32941,
0.32941,
0.32353,
0.33922,
0.32941,
0.33529,
0.33922,
0.33922,
0.33922,
0.33922,
0.33529,
0.32941,
0.31961,
0.32941,
0.33529,
0.33922,
0.3549,
0.36471,
0.3451,
0.33529,
0.31373,
0.3098,
0.31373,
0.32941,
0.31961,
0.33529,
0.3098,
0.3098,
0.30392,
0.3098,
0.31373,
0.26471,
0.4549,
1.2078,
1.5039,
1.5039,
0.82549,
0.33529,
0.31373,
0.33529,
0.31373,
0.3098,
0.30392,
0.3098,
0.31373,
0.3098,
0.33529,
0.33529,
0.34902,
0.36471,
0.37451,
0.40392,
0.42549,
0.44902,
0.48039,
0.51569,
0.57059,
0.6098,
0.67647,
0.73137,
0.77647,
0.8,
0.8,
0.8,
0.77647,
0.71569,
0.65098,
0.58431,
0.50588,
0.43529,
0.37059,
0.32941,
0.2902,
0.25882,
0.23922,
0.22941,
0.23922,
0.2549,
0.26471,
0.28431,
0.30392,
0.32941,
0.3451,
0.3549,
0.37059,
0.38039,
0.38431,
0.39412,
0.38431,
0.38431,
