Voltage,Sampling frequency
0.43597,125.0
0.43206,
0.42815,
0.42424,
0.42131,
0.41838,
0.4174,
0.41642,
0.41544,
0.41447,
0.41251,
0.41153,
0.40958,
0.40762,
0.40665,
0.40665,
0.40665,
0.40762,
0.4086,
0.4086,
0.41056,
0.41153,
0.41153,
0.41056,
0.4086,
0.40665,
0.40469,
0.40469,
0.40567,
0.4086,
0.41251,
0.42033,
0.43206,
0.45259,
0.4741,
0.4956,
0.51808,
0.5347,
0.55034,
0.56403,
0.57576,
0.58456,
0.59238,
0.59629,
0.59922,
0.60117,
0.60215,
0.60313,
0.60313,
0.60117,
0.59824,
0.59335,
0.58553,
0.57771,
0.57185,
0.56207,
0.54741,
0.53372,
0.52102,
0.50929,
0.50244,
0.49756,
0.4956,
0.49462,
0.49365,
0.49365,
0.49365,
0.49169,
0.48876,
0.4868,
0.48387,
0.48094,
0.47801,
0.47507,
0.47116,
0.46823,
0.46334,
0.45846,
0.45357,
0.44868,
0.44379,
0.43891,
0.435,
0.43109,
0.4262,
0.42326,
0.42033,
0.41838,
0.41642,
0.41447,
0.41447,
0.41349,
0.41251,
0.41251,
0.41251,
0.41251,
0.41251,
0.41349,
0.41544,
0.4174,
0.41935,
0.42033,
0.42131,
0.42131,
0.42033,
0.41935,
0.41642,
0.41447,
0.41349,
0.41349,
0.41642,
0.42131,
0.42815,
0.43695,
0.45064,
0.46823,
0.4868,
0.50538,
0.52395,
0.54154,
0.55816,
0.57185,
0.58162,
0.58749,
0.59042,
0.59042,
0.5914,
0.59042,
0.58944,
0.58651,
0.5826,
0.57771,
0.57087,
0.56305,
0.5523,
0.54057,
0.52884,
0.51711,
0.50733,
0.49756,
0.48778,
0.47996,
0.4741,
0.47019,
0.46823,
0.46725,
0.46628,
0.46432,
0.46041,
0.4565,
0.45259,
0.4477,
0.44379,
0.43891,
0.43304,
0.43011,
0.42717,
0.42522,
0.42229,
0.41935,
0.4174,
0.41544,
0.41349,
0.41251,
0.41153,
0.41153,
0.41153,
0.41251,
0.41349,
0.41349,
0.41447,
0.41544,
0.41642,
0.41642,
0.4174,
0.4174,
0.41838,
0.41838,
0.41838,
0.41935,
0.42033,
0.42033,
0.42131,
0.42033,
0.41838,
0.41642,
0.41544,
0.41349,
0.41153,
0.41056,
0.41153,
0.41447,
0.41935,
0.42717,
0.43891,
0.45357,
0.47214,
0.48974,
0.50831,
0.52395,
0.53666,
0.54839,
0.55914,
0.56794,
0.5738,
0.57771,
0.57967,
0.57967,
0.57869,
0.57674,
0.5738,
0.56989,
0.56403,
0.55523,
0.54448,
0.53275,
0.52102,
0.50929,
0.49951,
0.49169,
0.48583,
0.47996,
0.4741,
0.46921,
0.4653,
0.46237,
0.46041,
0.45748,
0.45455,
0.45064,
0.44575,
0.44086,
0.43695,
0.43206,
0.42815,
0.42522,
0.42326,
0.42131,
0.41935,
0.4174,
0.41544,
0.41349,
0.41251,
0.41056,
0.40958,
0.4086,
0.40762,
0.40762,
0.40762,
0.40762,
0.40762,
0.4086,
0.4086,
0.40762,
0.40762,
0.40762,
0.4086,
0.4086,
0.41056,
0.41153,
0.41153,
0.41251,
0.41251,
0.41056,
0.4086,
0.40665,
0.40469,
0.40469,
0.40567,
0.4086,
0.41447,
0.42424,
0.43793,
0.4565,
0.47507,
0.49267,
0.51222,
0.53079,
0.54936,
0.565,
0.57869,
0.58944,
0.59824,
0.60411,
0.60802,
0.60997,
0.60997,
0.60997,
0.60899,
0.60899,
0.60606,
0.60117,
0.59433,
0.58456,
0.57478,
0.56305,
0.55132,
0.53959,
0.52884,
0.52102,
0.5132,
0.50635,
0.50244,
0.49853,
0.49658,
0.49462,
0.49169,
0.48876,
0.48583,
0.48094,
0.47605,
0.47214,
0.46823,
0.4653,
0.46237,
0.46041,
0.45846,
0.4565,
0.45357,
0.44966,
0.44575,
0.44184,
0.43793,
0.43304,
0.42913,
0.42424,
0.41838,
0.41447,
0.41153,
0.40958,
0.4086,
0.40958,
0.40958,
0.40958,
0.41056,
0.41056,
0.41056,
0.41056,
0.41056,
0.41056,
0.41056,
0.41153,
0.41056,
0.41056,
0.41056,
0.40958,
0.40958,
0.40958,
0.40958,
0.41056,
0.41251,
0.41642,
0.42522,
0.43793,
0.45552,
0.47605,
0.49658,
0.51808,
0.53763,
0.55523,
0.56989,
0.58065,
0.58651,
0.59238,
0.59726,
0.59922,
0.6002,
0.6002,
0.59824,
0.59433,
0.58944,
0.58456,
0.57674,
0.56696,
0.55621,
0.54545,
0.53177,
0.51711,
0.50342,
0.49169,
0.48192,
0.47605,
0.47214,
0.47019,
0.46921,
0.46725,
0.46628,
0.4653,
0.46334,
0.46139,
0.45943,
0.45552,
0.45259,
0.44966,
0.44575,
0.44086,
0.435,
0.43011,
0.42522,
0.42131,
0.4174,
0.41447,
0.41251,
0.41056,
0.41056,
0.4086,
0.40665,
0.40567,
0.40469,
0.40371,
0.40274,
0.40176,
0.40176,
0.40078,
0.39883,
0.39687,
0.39394,
0.39198,
0.39003,
0.38905,
0.38807,
0.38807,
0.38807,
0.38807,
0.3871,
0.38514,
0.38319,
0.38123,
0.37928,
0.3783,
0.38025,
0.38221,
0.38807,
0.39687,
0.4086,
0.42522,
0.44086,
0.45748,
0.47703,
0.4956,
0.5132,
0.52981,
0.5435,
0.55425,
0.56403,
0.57087,
0.5738,
0.57576,
0.57674,
0.57674,
0.57674,
0.5738,
0.56989,
0.56207,
0.55132,
0.53959,
0.52688,
0.51515,
0.5044,
0.49658,
0.48974,
0.48485,
0.47996,
0.47703,
0.47507,
0.47312,
0.47019,
0.46921,
0.46725,
0.4653,
0.46334,
0.46041,
0.45846,
0.45552,
0.45259,
0.44868,
0.44477,
0.43988,
0.43597,
0.43206,
0.42717,
0.42229,
0.4174,
0.41447,
0.41056,
0.40762,
0.40665,
0.40567,
0.40469,
0.40469,
0.40371,
0.40176,
0.3998,
0.3998,
0.39883,
0.39883,
0.39883,
0.39883,
0.39883,
0.3998,
0.39785,
0.39589,
0.39394,
0.39198,
0.38905,
0.38612,
0.38319,
0.38123,
0.37928,
0.38025,
0.38221,
0.38514,
0.39101,
0.40078,
0.41349,
0.43011,
0.44966,
0.47116,
0.49169,
0.51026,
0.52688,
0.54057,
0.55132,
0.55914,
0.565,
0.56891,
0.57283,
0.57478,
0.57576,
0.57576,
0.57478,
0.57087,
0.565,
0.55816,
0.54839,
0.53763,
0.52884,
0.52004,
0.50929,
0.50049,
0.49365,
0.48778,
0.48289,
0.48094,
0.47996,
0.47898,
0.47898,
0.47703,
0.4741,
0.47116,
0.46628,
0.46139,
0.4565,
0.45161,
0.44673,
0.44184,
0.43695,
0.43304,
0.43011,
0.4262,
0.42326,
0.42131,
0.41935,
0.41642,
0.41447,
0.41349,
0.41251,
0.41153,
0.41153,
0.41153,
0.41153,
0.41153,
0.41153,
0.41056,
0.40958,
0.40958,
0.40958,
0.40958,
0.40958,
0.41056,
0.41056,
0.41447,
0.41935,
0.42131,
0.42229,
0.42229,
0.42229,
0.42229,
0.42229,
0.42326,
0.42522,
0.43011,
0.44086,
0.45552,
0.4741,
0.4956,
0.51808,
0.53959,
0.55816,
0.57283,
0.58553,
0.59629,
0.60508,
0.6129,
0.61779,
0.61975,
0.62072,
0.6217,
0.6217,
0.62072,
0.61779,
0.6129,
0.60704,
0.59922,
0.58944,
0.57967,
0.56794,
0.55523,
0.54252,
0.53079,
0.52102,
0.5132,
0.50733,
0.50244,
0.49951,
0.49853,
0.49658,
0.49462,
0.49365,
0.49169,
0.48778,
0.48387,
0.47996,
0.47605,
0.47214,
0.46823,
0.46432,
0.45943,
0.45552,
0.45161,
0.4477,
0.44379,
0.44086,
0.43597,
0.43109,
0.42717,
0.42424,
0.42131,
0.41838,
0.4174,
0.41447,
0.41251,
0.40958,
0.40762,
0.40665,
0.40665,
0.40665,
0.4086,
0.41056,
0.41251,
0.41447,
0.41544,
0.41642,
0.41642,
0.41544,
0.41447,
0.41349,
0.41153,
0.41056,
0.41056,
0.41153,
0.41447,
0.42033,
0.42815,
0.43891,
0.45357,
0.47214,
0.49169,
0.51026,
0.52884,
0.54448,
0.55816,
0.56891,
0.57674,
0.58358,
0.58847,
0.58944,
0.59042,
0.59042,
0.58944,
0.58651,
0.5826,
0.57674,
0.56989,
0.56012,
0.54839,
0.53666,
0.52395,
0.5132,
0.50538,
0.49853,
0.49267,
0.4868,
0.48289,
0.48094,
0.47996,
0.47898,
0.47801,
0.4741,
0.47019,
0.46628,
0.46237,
0.45748,
0.45259,
0.44868,
0.44477,
0.44086,
0.43597,
0.43109,
0.42717,
0.42424,
0.42131,
0.41838,
0.41642,
0.41447,
0.41349,
0.41251,
0.41251,
0.41349,
0.41349,
0.41447,
0.41642,
0.41838,
0.42033,
0.42229,
0.42229,
0.42326,
0.42326,
0.42326,
0.42326,
0.42424,
0.42326,
0.42229,
0.42033,
0.4174,
0.41544,
0.41251,
0.40958,
0.4086,
0.40958,
0.41056,
0.41349,
0.41935,
0.42717,
0.43695,
0.45064,
0.46725,
0.48583,
0.50342,
0.52004,
0.53372,
0.5435,
0.55327,
0.56207,
0.56989,
0.57576,
0.57967,
0.5826,
0.58162,
0.58065,
0.57771,
0.57087,
0.56207,
0.5523,
0.54252,
0.53079,
0.51906,
0.50831,
0.49756,
0.48974,
0.48289,
0.47703,
0.47214,
0.46921,
0.46725,
0.46628,
0.46628,
0.46432,
0.46237,
0.45846,
0.45455,
0.44966,
0.44477,
0.43988,
0.435,
0.43109,
0.42717,
0.42522,
0.42326,
0.42229,
0.42033,
0.4174,
0.41544,
0.41447,
0.41447,
0.41447,
0.41447,
0.41447,
0.41544,
0.41642,
0.41838,
0.41935,
0.42033,
0.42131,
0.42326,
0.42326,
0.42424,
0.42424,
0.42424,
0.42424,
0.42424,
0.42326,
0.42229,
0.42033,
0.41935,
0.4174,
0.41544,
0.41544,
0.4174,
0.42229,
0.43109,
0.44477,
0.46334,
0.48485,
0.50733,
0.52688,
0.54448,
0.55914,
0.56989,
0.58162,
0.5914,
0.59922,
0.60508,
0.60802,
0.60997,
0.61095,
0.61193,
0.60997,
0.60802,
0.60606,
0.60215,
0.59726,
0.59042,
0.58065,
0.56891,
0.55718,
0.54448,
0.53079,
0.51906,
0.50929,
0.50147,
0.49462,
0.48876,
0.48485,
0.48094,
0.47801,
0.47507,
0.47214,
0.46921,
0.46725,
0.46334,
0.46041,
0.45748,
0.45455,
0.45259,
0.44966,
0.44673,
0.44184,
0.43695,
0.43304,
0.42815,
0.42424,
0.42033,
0.41642,
0.41349,
0.41153,
0.40958,
0.4086,
0.40762,
0.40762,
0.40567,
0.40469,
0.40469,
0.40371,
0.40469,
0.40567,
0.40762,
0.4086,
0.40762,
0.40762,
0.40567,
0.40371,
0.40274,
0.40078,
0.40078,
0.3998,
0.3998,
0.40078,
0.40371,
0.4086,
0.41642,
0.4262,
0.44086,
0.45943,
0.47996,
0.50049,
0.52004,
0.53861,
0.55425,
0.56598,
0.5738,
0.58065,
0.58358,
0.58456,
0.58553,
0.58553,
0.58456,
0.58358,
0.58162,
0.57869,
0.5738,
0.56891,
0.56012,
0.55034,
0.53666,
0.52297,
0.51026,
0.49756,
0.4868,
0.47801,
0.47116,
0.46628,
0.46334,
0.46041,
0.4565,
0.45357,
0.44966,
0.4477,
0.44575,
0.44184,
0.43793,
0.43402,
0.43109,
0.42717,
0.42424,
0.42229,
0.41935,
0.41544,
0.41251,
0.41056,
0.4086,
0.40665,
0.40469,
0.40176,
0.3998,
0.39687,
0.39394,
0.39198,
0.39003,
0.39003,
0.38905,
0.39101,
0.39296,
0.39394,
0.39296,
0.39296,
0.39198,
0.39003,
0.38905,
0.38807,
0.3871,
0.38612,
0.38514,
0.38319,
0.38123,
0.37928,
0.3783,
0.37732,
0.3783,
0.38123,
0.38807,
0.39785,
0.41251,
0.43011,
0.45064,
0.47116,
0.49071,
0.50733,
0.52004,
0.53372,
