Voltage,Sampling frequency
0.35386,125.0
0.35679,
0.35875,
0.36168,
0.36364,
0.36559,
0.36657,
0.36852,
0.36852,
0.36852,
0.36852,
0.36755,
0.36657,
0.36559,
0.36168,
0.35875,
0.35288,
0.34702,
0.34115,
0.33431,
0.32747,
0.3216,
0.31183,
0.30303,
0.29228,
0.28152,
0.26882,
0.25611,
0.24242,
0.22874,
0.21799,
0.20626,
0.19648,
0.18768,
0.17791,
0.16911,
0.16129,
0.15347,
0.14663,
0.14076,
0.13685,
0.13294,
0.13001,
0.1261,
0.12414,
0.12121,
0.11926,
0.11632,
0.11437,
0.11241,
0.11046,
0.1085,
0.10655,
0.10557,
0.10166,
0.098729,
0.094819,
0.089932,
0.086022,
0.082111,
0.078201,
0.075269,
0.070381,
0.065494,
0.060606,
0.054741,
0.048876,
0.043988,
0.038123,
0.033236,
0.028348,
0.024438,
0.022483,
0.01955,
0.01955,
0.018573,
0.01955,
0.021505,
0.02346,
0.026393,
0.030303,
0.035191,
0.042033,
0.049853,
0.060606,
0.070381,
0.082111,
0.094819,
0.10753,
0.12121,
0.13392,
0.14663,
0.15934,
0.17107,
0.18475,
0.19746,
0.21114,
0.22581,
0.23754,
0.25024,
0.26197,
0.2737,
0.28446,
0.29521,
0.30596,
0.31672,
0.32845,
0.34018,
0.35191,
0.36364,
0.37439,
0.38514,
0.39394,
0.40371,
0.41447,
0.42522,
0.43793,
0.44966,
0.46139,
0.47312,
0.48387,
0.4956,
0.50831,
0.52199,
0.53568,
0.55034,
0.56696,
0.5826,
0.59922,
0.61681,
0.63245,
0.64712,
0.66178,
0.67546,
0.69013,
0.70381,
0.71848,
0.73314,
0.74682,
0.76051,
0.77322,
0.78592,
0.79863,
0.81232,
0.826,
0.83969,
0.85435,
0.86999,
0.88465,
0.90029,
0.91496,
0.92864,
0.94135,
0.95503,
0.96774,
0.98143,
0.9912,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
0.98925,
0.97849,
0.95894,
0.93939,
0.91887,
0.89834,
0.87879,
0.85924,
0.84066,
0.82307,
0.80352,
0.78495,
0.76442,
0.74487,
0.7263,
0.70772,
0.6911,
0.67351,
0.65689,
0.6393,
0.62366,
0.60704,
0.59238,
0.57771,
0.565,
0.5523,
0.54252,
0.53275,
0.52493,
0.51711,
0.51026,
0.5044,
0.49951,
0.4956,
0.49169,
0.48778,
0.48485,
0.48192,
0.47898,
0.47703,
0.47507,
0.47312,
0.47116,
0.47019,
0.46823,
0.46725,
0.4653,
0.46432,
0.46139,
0.45943,
0.4565,
0.45357,
0.44868,
0.44477,
0.43891,
0.43402,
0.42815,
0.42229,
0.41447,
0.40665,
0.39687,
0.3871,
0.37634,
0.36559,
0.35386,
0.34213,
0.33138,
0.3216,
0.31281,
0.30303,
0.29521,
0.28739,
0.28055,
0.2737,
0.26784,
0.26295,
0.25904,
0.25513,
0.25318,
0.25122,
0.25024,
0.25024,
0.25122,
0.2522,
0.25318,
0.25513,
0.25611,
0.25806,
0.25904,
0.26002,
0.25904,
0.25904,
0.25709,
0.25611,
0.25415,
0.2522,
0.24927,
0.24633,
0.24145,
0.23754,
0.23265,
0.22678,
0.22092,
0.21505,
0.20821,
0.20235,
0.19648,
0.19159,
0.18768,
0.1828,
0.17889,
0.17498,
0.17107,
0.16813,
0.1652,
0.16325,
0.16129,
0.15934,
0.15836,
0.15738,
0.15543,
0.15445,
0.15347,
0.15249,
0.15152,
0.15054,
0.14956,
0.14858,
0.14761,
0.14663,
0.14467,
0.14272,
0.14076,
0.13783,
0.13392,
0.13099,
0.12708,
0.12317,
0.11828,
0.11241,
0.10557,
0.098729,
0.090909,
0.083089,
0.075269,
0.066471,
0.059629,
0.052786,
0.047898,
0.042033,
0.037146,
0.032258,
0.02737,
0.02346,
0.021505,
0.01955,
0.01955,
0.01955,
0.022483,
0.026393,
0.031281,
0.037146,
0.044966,
0.052786,
0.062561,
0.072336,
0.083089,
0.093842,
0.10459,
0.11535,
0.12708,
0.13881,
0.15249,
0.1652,
0.17693,
0.18866,
0.20039,
0.21114,
0.22287,
0.2346,
0.24731,
0.26002,
0.2737,
0.28739,
0.30108,
0.31476,
0.32747,
0.3392,
0.34995,
0.3607,
0.37243,
0.38416,
0.39687,
0.40958,
0.42033,
0.43206,
0.44184,
0.45161,
0.46237,
0.4741,
0.4868,
0.49853,
0.51222,
0.5259,
0.53959,
0.55425,
0.56696,
0.57967,
0.59238,
0.60508,
0.61877,
0.63245,
0.64614,
0.6608,
0.67449,
0.68719,
0.69892,
0.71065,
0.72141,
0.73314,
0.74389,
0.75562,
0.76735,
0.7781,
0.78886,
0.80059,
0.81036,
0.82014,
0.82991,
0.83969,
0.85142,
0.86217,
0.87488,
0.88759,
0.89932,
0.91202,
0.92278,
0.93451,
0.94721,
0.95992,
0.97458,
0.98827,
0.99413,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
0.99218,
0.98338,
0.96188,
0.94037,
0.91496,
0.89052,
0.86217,
0.8348,
0.80938,
0.78299,
0.75855,
0.73412,
0.7087,
0.68328,
0.65689,
0.6305,
0.60508,
0.57869,
0.55425,
0.52981,
0.50831,
0.4868,
0.46823,
0.44868,
0.43304,
0.41642,
0.40274,
0.38807,
0.37732,
0.36657,
0.35777,
0.34995,
0.34311,
0.33627,
0.33138,
0.32649,
0.32356,
0.32063,
0.31867,
0.31672,
0.31476,
0.31281,
0.31183,
0.31085,
0.3089,
0.30792,
0.30596,
0.30401,
0.30303,
0.30205,
0.3001,
0.29912,
0.29814,
0.29619,
0.29521,
0.29326,
0.29326,
0.29326,
0.29423,
0.29521,
0.29619,
0.29717,
0.29912,
0.30108,
0.30401,
0.30792,
0.31281,
0.31672,
0.3216,
0.32551,
0.32942,
0.33333,
0.33822,
0.34311,
0.348,
0.35288,
0.35679,
0.3607,
0.36364,
0.36657,
0.36755,
0.3695,
0.3695,
0.37048,
0.36852,
0.36657,
0.36266,
0.35875,
0.35484,
0.35093,
0.34604,
0.34115,
0.33333,
0.32649,
0.31672,
0.30694,
0.29521,
0.28446,
0.27175,
0.26002,
0.24927,
0.23851,
0.22874,
0.21896,
0.20919,
0.20039,
0.19159,
0.1828,
0.17595,
0.16911,
0.16325,
0.15836,
0.15347,
0.14956,
0.14663,
0.14272,
0.13978,
0.13685,
0.13392,
0.13099,
0.12805,
0.12512,
0.12219,
0.11926,
0.11437,
0.11046,
0.10557,
0.099707,
0.095797,
0.090909,
0.086022,
0.082111,
0.076246,
0.070381,
0.062561,
0.054741,
0.047898,
0.040078,
0.033236,
0.026393,
0.021505,
0.01564,
0.01173,
0.0078201,
0.0058651,
0.0029325,
0.0029325,
0.001955,
0.0029325,
0.0039101,
0.0058651,
0.0087977,
0.012708,
0.017595,
0.024438,
0.031281,
0.040078,
0.049853,
0.061584,
0.073314,
0.084066,
0.095797,
0.10753,
0.11926,
0.13294,
0.14663,
0.16031,
0.17498,
0.18768,
0.20137,
0.2131,
0.22483,
0.23754,
0.25024,
0.26295,
0.27566,
0.28935,
0.30205,
0.31574,
0.32942,
0.34115,
0.35386,
0.36461,
0.37634,
0.38807,
0.40078,
0.41349,
0.42717,
0.43988,
0.45161,
0.46432,
0.47605,
0.48974,
0.50244,
0.51711,
0.53275,
0.54839,
0.56403,
0.57967,
0.59629,
0.60997,
0.62463,
0.63734,
0.65005,
0.66373,
0.67742,
0.69208,
0.70772,
0.72043,
0.73412,
0.74682,
0.76051,
0.77419,
0.78788,
0.80254,
0.81818,
0.83382,
0.84946,
0.86608,
0.88172,
0.89638,
0.91105,
0.92473,
0.93744,
0.9521,
0.96676,
0.98143,
0.99707,
0.99804,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
0.98338,
0.96676,
0.94624,
0.92669,
0.9042,
0.88172,
0.85826,
0.8348,
0.81036,
0.7869,
0.76442,
0.74194,
0.72239,
0.70186,
0.68133,
0.66178,
0.64223,
0.62268,
0.60508,
0.58749,
0.57283,
0.55718,
0.5435,
0.52981,
0.51711,
0.50342,
0.49267,
0.48192,
0.47312,
0.46432,
0.4565,
0.44966,
0.44282,
0.43695,
0.43206,
0.42717,
0.42326,
0.41935,
0.41642,
0.41349,
0.41056,
0.4086,
0.40762,
0.40567,
0.40567,
0.40469,
0.40469,
0.40567,
0.40567,
0.40665,
0.40665,
0.40665,
0.40665,
0.40665,
0.40567,
0.40469,
0.40274,
0.40078,
0.39785,
0.39492,
0.39101,
0.38807,
0.38221,
0.37732,
0.3695,
0.36266,
0.35386,
0.34604,
0.33627,
0.32747,
0.31965,
0.31085,
0.30303,
0.29619,
0.28935,
0.28348,
0.27761,
0.27273,
0.26882,
0.26588,
0.26295,
0.261,
0.26002,
0.25904,
0.25904,
0.25904,
0.25806,
0.25806,
0.25806,
0.25806,
0.25709,
0.25611,
0.25513,
0.25415,
0.25024,
0.24731,
0.2434,
0.23949,
0.2346,
0.23069,
0.22581,
0.22092,
0.21505,
0.21017,
0.20235,
0.1955,
0.18866,
0.18182,
0.17498,
0.16716,
0.16129,
0.1564,
0.15152,
0.14761,
0.1437,
0.14076,
0.13783,
0.1349,
0.13392,
0.13196,
0.13099,
0.13099,
0.13099,
0.13196,
0.13294,
0.13392,
0.1349,
0.13587,
0.13587,
0.13685,
0.13685,
0.13685,
0.13685,
0.13685,
0.13587,
0.1349,
0.13294,
0.13099,
0.12805,
0.1261,
0.12414,
0.12121,
0.1173,
0.11339,
0.10753,
0.10264,
0.095797,
0.089932,
0.082111,
0.075269,
0.069404,
0.063539,
0.059629,
0.055718,
0.051808,
0.048876,
0.045943,
0.043011,
0.041056,
0.039101,
0.038123,
0.037146,
0.036168,
0.036168,
0.036168,
0.036168,
0.037146,
0.038123,
0.040078,
0.042033,
0.044966,
0.047898,
0.051808,
0.055718,
0.060606,
0.065494,
0.071359,
0.077224,
0.083089,
0.089932,
0.096774,
0.10264,
0.11144,
0.12023,
0.13001,
0.14076,
0.15249,
0.1652,
0.17889,
0.19257,
0.20528,
0.21896,
0.23069,
0.2434,
0.25806,
0.27175,
0.28641,
0.30205,
0.31574,
0.32942,
0.34311,
0.35582,
0.37048,
0.38514,
0.40078,
0.41642,
0.43304,
0.44868,
0.46628,
0.48289,
0.49756,
0.5132,
0.52688,
0.54154,
0.55425,
0.56794,
0.58065,
0.59335,
0.60411,
0.61486,
0.62463,
0.63343,
0.64223,
0.65103,
0.65885,
0.66764,
0.67644,
0.68524,
0.69404,
0.70381,
0.71359,
0.72239,
0.73216,
0.74194,
0.75269,
0.76442,
0.77713,
0.78983,
0.80254,
0.81525,
