Voltage,Sampling frequency
0.52549,125.0
0.51961,
0.51569,
0.50588,
0.5098,
0.50588,
0.51569,
0.51569,
0.51961,
0.51961,
0.52549,
0.52549,
0.53529,
0.52941,
0.52549,
0.53529,
0.52549,
0.51961,
0.51961,
0.51961,
0.51569,
0.51961,
0.51569,
0.51961,
0.51569,
0.51961,
0.51569,
0.51961,
0.51569,
0.51961,
0.52941,
0.5549,
0.56471,
0.57451,
0.5451,
0.52941,
0.5,
0.4902,
0.47451,
0.47059,
0.47451,
0.49412,
0.50588,
0.51961,
0.51569,
0.51569,
0.5549,
0.6451,
0.55098,
0.052941,
-0.50196,
-0.41176,
0.2,
0.43922,
0.50588,
0.53922,
0.56471,
0.58039,
0.59608,
0.58039,
0.56471,
0.5549,
0.5549,
0.5451,
0.53922,
0.53922,
0.52941,
0.51961,
0.51961,
0.52549,
0.53529,
0.53922,
0.52549,
0.51961,
0.51569,
0.5098,
0.5,
0.5,
0.4902,
0.4902,
0.47451,
0.48431,
0.48431,
0.4902,
0.48431,
0.5,
0.5098,
0.51961,
0.52549,
0.52549,
0.52549,
0.52941,
0.52549,
0.51961,
0.51569,
0.50588,
0.5,
0.5,
0.50588,
0.5098,
0.51569,
0.5,
0.50588,
0.50588,
0.5,
0.5,
0.50588,
0.5,
0.5098,
0.50588,
0.53529,
0.5549,
0.57059,
0.5549,
0.53922,
0.5,
0.48431,
0.46471,
0.46078,
0.46471,
0.46078,
0.47451,
0.47451,
0.47059,
0.46471,
0.47451,
0.56471,
0.58431,
0.23922,
-0.38824,
-0.50196,
0.029412,
0.39412,
0.47451,
0.48039,
0.5,
0.5098,
0.51961,
0.52549,
0.51961,
0.50588,
0.49412,
0.4902,
0.49412,
0.5,
0.48431,
0.47451,
0.48039,
0.4902,
0.4902,
0.49412,
0.47451,
0.46078,
0.4451,
0.42941,
0.42941,
0.42549,
0.42549,
0.42941,
0.4098,
0.40392,
0.42941,
0.47059,
0.5,
0.53922,
0.56471,
0.59608,
0.6,
0.6098,
0.61569,
0.6098,
0.5902,
0.58431,
0.58039,
0.58431,
0.5902,
0.59608,
0.60588,
0.59608,
0.59608,
0.5902,
0.5902,
0.57059,
0.57059,
0.56471,
0.56471,
0.5549,
0.55098,
0.5451,
0.56078,
0.57059,
0.59608,
0.60588,
0.61569,
0.5902,
0.56471,
0.52549,
0.51569,
0.4902,
0.48431,
0.49412,
0.5,
0.5,
0.5,
0.5,
0.49412,
0.55098,
0.6098,
0.44902,
-0.16275,
-0.50196,
-0.33725,
0.21373,
0.39412,
0.43922,
0.47451,
0.5,
0.51961,
